id,orderID,address,city,province,postal_code,latitude,longitude,property_sub_type,structure_type,style,levels,bedrooms,full_baths,half_baths,room_count,gla,main_level_finished_area,upper_lvl_fin_area,lot_size_sf,year_built,roof,basement,cooling,heating,close_price,close_date,public_remarks,total_baths,price_per_sqft,property_class,sale_year,sale_month,sale_quarter,lot_size_unit,full_address
2682,4762597,Unit 402 - 649 DAVIS Dr,Kingston,Ontario,L9P 1R2,44.254,-76.5675,Condo Apt,Apartment,2-Storey ,2-Storey ,2.0,1.0,0.0,7.0,1100.0,843.0,850.0,4057.0,2004.0,"","",Window Unit,Baseboard,330000.0,2025-01-24T00:00:00.000000,"Affordable, updated and great location...This 2 bedroom condo is located just a 5 minute walk to the Cataraqui Mall and close to all other amenities. Situated on the top floor, this unit has been updated with new flooring and paint so it is in perfect move in condition. If that wasn't enough covered parking is included. The building does not see a lot of sales with only 2 in the last 3 years so don't miss out on a great opportunity. Fees include building maintenance, ground maintenance/landscaping, parking, property management fees, snow removal.",1.0,300.0,Basic,2025,1,1,SqM,"Unit 402 - 649 DAVIS Dr, Kingston, Ontario L9P 1R2"
161384,4762597,Unit 402 - 649 DAVIS Drive ,Kingston ,Ontario,K7M 8L4,44.2541,-76.5675,Condo Apartment,"Condo Apartment, Apartment ",Apartment ,Apartment ,2.0,2.0,1.0,7.0,1100.0,843.0,850.0,4057.0,2004.0,"","",Window Unit(s) ,Baseboard ,330000.0,2025-01-24T00:00:00.000000,"Affordable, updated and great location...This 2 bedroom condo is located just a 5 minute walk to the Cataraqui Mall and close to all other amenities.  Situated on the top floor, this unit has been updated with new flooring and paint so it is in perfect move in condition. If that wasn't enough covered parking is included.  The building does not see a lot of sales with only 2 in the last 3 years so don't miss out on a great opportunity. Fees include building maintenance, ground maintenance/landscaping, parking, property management fees, snow removal.",2.5,300.0,Basic,2025,1,1,SqM,"Unit 402 - 649 DAVIS Drive , Kingston , Ontario K7M 8L4"
28,4762597,2138 Balantrae Circ,Kingston,Ontario,K7M 9H8,44.2331,-76.5906,Detached,Detached,2-Storey,Two,3.0,4.0,1.0,7.0,1850.0,843.0,850.0,3845.06,2004.0,"","Finished, Full",Central Air,Forced Air,745000.0,2025-01-28T00:00:00.000000,"Welcome to 2138 Balantrae, a home where cherished family memories are ready to be made! Nestled on a peaceful street in a sought-after neighborhood, this property is perfect for families. Just steps away from parks, Lemoines Point, the airport, Landings Golf Course, and all the amenities you need, this location offers convenience and endless outdoor fun. Set on a spacious lot with plenty of room for kids to play and explore, this stunning, over 2700 sq foot, 2-storey home is filled with updates and charm. The bright, modern kitchen features beautiful quartz countertops and almost new stainless steal appliances, while the rest of the main floor boasts some fresh flooring and a welcoming layout. Enjoy the peace of mind of a newer roof and a home that has been meticulously cared for. You'll find three generously sized bedrooms which are perfect for growing families. The main floor open design includes a large living area, separate dining and lounging spaces, and a handy main-floor laundry. The fully finished basement adds even more appeal, with a large rec-room, a full bathroom, and an extra bedroom ideal for guests or a growing teen. If you're searching for the perfect family home in a mature, family-friendly neighborhood, 2138 Balantrae is ready to welcome you home.",2.5,402.7027027027027,Standard,2025,1,1,SqM,"2138 Balantrae Circ, Kingston, Ontario K7M 9H8"
3278,4762597,Unit 51 - 808 Datzell Lane,Kingston ,Ontario,K7M 7R6,44.25,-76.5903,Condo Townhouse,"Condo Townhouse, 2-Storey ",2-Storey ,2-Storey ,3.0,2.0,1.0,8.0,1100.0,843.0,850.0,4057.0,2004.0,"",Unfinished ,Central Air ,Forced Air ,375000.0,2025-01-31T00:00:00.000000,"Welcome home to 808 Datzell Lane! This charming 3 bedroom, 1.5-bath townhouse condo offers the perfect opportunity to settle into a home thats both affordable and move-in ready. Nestled in the friendly Sexton Place community, its a great choice for first-time home buyers, young families or investors looking for a property with both comfort and a great West end convenient location. Step inside to this bright, inviting home that is mostly carpet free with wood laminate flooring and a functional oak kitchen. Patio doors lead way to your own private backyard with a patio featuring a cozy spot for morning coffee or evening get-togethers. The fresh, neutral tones throughout provide a welcoming canvas for your personal style. Upstairs, three comfortable bedrooms and a full bathroom offer plenty of space for family, guests, or a home office. The lower level is ready to meet your needs, whether for a toy room, storage, hobbies, or future finishing with a sump pump already in place.  An attached garage with inside entry adds to the ease of living. Sexton Place offers a sense of community with its outdoor pool, playground with basketball courts. Nearby amenities include grocery stores, schools, recreational park with Baseball Diamond, Soccer Field and Courts for playing Pickleball and Tennis enthusiasts. Express line bus stop just minutes away. Ready to move in and make it yours? Call today to book your private tour and take the next step toward homeownership or a smart investment!!",2.5,340.90909090909093,Basic,2025,1,1,SqM,"Unit 51 - 808 Datzell Lane, Kingston , Ontario K7M 7R6"
77856,4762597,Unit 108 - 835 Milford Dr ,Kingston ,Ontario,K7P 1A7,44.2508,-76.5839,Condo Apt,Condo Apt,Apartment ,Apartment ,1.0,1.0,1.0,5.0,550.0,843.0,850.0,4057.0,1955.0,"",Apartment ,Window Unit ,Baseboard ,253750.0,2025-02-05T00:00:00.000000,"Client Remarks First Time Home Buyers, Graduate Student, Investors Take A Look. This one bedroom condominium is located in Kingston Township with public transit, shopping and schools close by. Controlled Entry, assigned parking and visitors parking . Can close very quickly. Great end unit condo with the laundry facility located across the hall. Bright interior with dining, living room, galley kitchen, one bedroom, bath and in-suite storage area with hot water tank. Very reasonable property taxes and condo fees makes this condo a must see. Furnished pictures are ai and virtually made.",2.5,461.3636363636364,Basic,2025,2,1,SqM,"Unit 108 - 835 Milford Dr , Kingston , Ontario K7P 1A7"
162303,4762597,Unit 108 - 835 Milford Drive ,Kingston ,Ontario,K7P 1A7,44.2508,-76.5839,Condo Apartment,"Condo Apartment, Apartment ",Apartment ,Apartment ,2.0,2.0,1.0,5.0,550.0,843.0,850.0,4057.0,2004.0,"",Apartment ,Window Unit(s) ,Baseboard ,253750.0,2025-02-05T00:00:00.000000,"Client Remarks First Time Home Buyers, Graduate Student, Investors Take A Look. This one bedroom condominium is located in Kingston Township with public transit, shopping and schools close by. Controlled Entry, assigned parking and visitors parking . Can close very quickly. Great end unit condo with the laundry facility located across the hall. Bright interior with dining, living room, galley kitchen, one bedroom, bath and in-suite storage area with hot water tank. Very reasonable property taxes and condo fees makes this condo a must see. Furnished pictures are ai and virtually made.",2.5,461.3636363636364,Basic,2025,2,1,SqM,"Unit 108 - 835 Milford Drive , Kingston , Ontario K7P 1A7"
77475,4762597,912 OAKVIEW St ,Kingston ,Ontario,K7M 6V6,44.2486,-76.5875,Condo Townhouse,Condo Townhouse,2-Storey ,2-Storey ,3.0,1.0,1.0,7.0,1300.0,843.0,850.0,4057.0,2004.0,"","Full, Unfinished ","",Forced Air ,331000.0,2025-02-13T00:00:00.000000,"",2.5,254.6153846153846,Basic,2025,2,1,SqM,"912 OAKVIEW St , Kingston , Ontario K7M 6V6"
160962,4762597,912 OAKVIEW Street ,Kingston ,Ontario,K7M 6V6,44.2486,-76.5875,Condo Townhouse,"Condo Townhouse, 2-Storey ",2-Storey ,2-Storey ,3.0,2.0,1.0,7.0,1300.0,843.0,850.0,4057.0,2004.0,"","Full, Unfinished ","",Forced Air ,331000.0,2025-02-13T00:00:00.000000,"This 3 bedroom condo townhome is located in Twin Oak Meadows, conveniently located within walking distance to schools, parks, and shopping.  This property is ideal for that first time buyer or savvy investor.  Just had a fresh coat of paint from top to bottom, nice fully fenced yard, private driveway and visitor parking close by.  Enjoy the community pool or basketball courts in the summer.   Call today for your private viewing!",2.5,254.6153846153846,Basic,2025,2,1,SqM,"912 OAKVIEW Street , Kingston , Ontario K7M 6V6"
142089,4762597,Unit 305 - 675 Davis Drive W ,Kingston ,Ontario,K7M 8L5,44.2548,-76.5668,Condo Apartment,"Condo Apartment, Apartment ",Apartment ,Apartment ,2.0,2.0,1.0,9.0,1100.0,843.0,850.0,4057.0,2004.0,"","",Window Unit(s) ,Baseboard ,394500.0,2025-02-24T00:00:00.000000,"Welcome to this beautifully renovated 2-bedroom, 2-bathroom condo in the sought-after Kingsgate community. This stunning unit offers modern upgrades and timeless elegance, designed for all your living needs. Features of the unit include an updated kitchen, Quartz countertops,stainless steel appliances, soft-close drawers and a sleek design. Elegant flooring, ceramic tiled foyer, bathrooms and hardwood floors throughout for a sophisticated touch. Bathrooms updated in 2022. Premium window coverings Hunter Douglas blackout /silhouette blinds with remote control and lifetime warranty. French doors add charm and character. Enjoy the convenience in-suite washer and dryer. This condo allows owners to enjoy the ability to be pet owners up to two pets. The amenities include an indoor pool, a party room with a full kitchen,a library & pool table, a community BBQ, a patio, landscaped gardens, a designated car wash,underground parking, a smoke-free building, and an on-site superintendent. The condo is undergoing a modernization of the garage, a new roof and new elevators for 2025. You will love calling this condominium home.",2.5,358.6363636363636,Basic,2025,2,1,SqM,"Unit 305 - 675 Davis Drive W , Kingston , Ontario K7M 8L5"
120422,4762597,Unit 101 - 1010 Pembridge Crescent ,Kingston ,Ontario,K7P 1A3,44.2507,-76.5851,Condo Apartment,"Condo Apartment, Bachelor/Studio ",Bachelor/Studio ,Bachelor/Studio ,0.0,2.0,1.0,3.0,250.0,843.0,850.0,4057.0,2004.0,"","",Wall Unit(s) ,Baseboard ,187000.0,2025-02-25T00:00:00.000000,"Tired of paying rent and paying off someone else's mortgage? Here is your chance to start building home equity with this affordable condo studio apartment nicely located, and within a short walking distance to grocery, a gym, pharmacy, convenience stores and restaurants, as well as major bus routes. Tastefully updated kitchen, flooring and bathroom, with a large closet for personal belongings and storage. One parking space included and ready for you to move in or rent our right away!",2.5,748.0,Basic,2025,2,1,SqM,"Unit 101 - 1010 Pembridge Crescent , Kingston , Ontario K7P 1A3"
